iteration,r2_score,max_depth,learning_rate,subsample,colsample_bytree
1,0.717879,4.49816,0.095564,0.892798,0.839463
2,0.716772,3.624075,0.02404,0.623233,0.94647
3,0.715667,5.40446,0.073727,0.608234,0.987964
4,0.714951,6.329771,0.029111,0.67273,0.673362
5,0.715321,4.216969,0.057228,0.772778,0.716492
6,0.708278,6.140704,0.023693,0.75417,0.790223
7,0.718659,4.802895,0.068398,0.661455,0.90372
8,0.709433,4.678044,0.079544,0.756329,0.877412
9,0.715159,5.076025,0.020892,0.631359,0.640305
10,0.711432,5.101169,0.024359,0.930437,0.897372
11,0.708729,6.796073,0.098224,0.843583,0.799214
12,0.698067,4.0195,0.096947,0.634684,0.870501
13,0.725053,3.374718,0.097334,0.97111,0.967825
14,0.717284,5.173536,0.099804,0.779875,0.816756
15,0.716745,4.743645,0.056517,0.682128,0.91187
16,0.723365,3.424582,0.082353,0.900564,0.963598
17,0.726986,3.27697,0.054488,0.897624,0.979957
18,0.722831,5.878196,0.041362,0.617886,0.741203
19,0.724349,4.010716,0.06067,0.900461,0.875601
20,0.713795,4.203804,0.023337,0.618072,0.897644
21,0.719268,5.240328,0.0199,0.800414,0.664999
22,0.716279,3.310102,0.013376,0.938738,0.879289
23,0.720439,3.277985,0.054048,0.902045,0.979829
24,0.702844,5.663434,0.096605,0.826913,0.974995
25,0.709921,6.820709,0.066028,0.800428,0.658642
